"","assemb.ID","Intercept","umol.L.sec","Temp.C"
"48","Run5_8_Blank_5_O2",228.001019021739,-0.000765069169960529,17.172
"49","Run5_9_G4_A1_O2",201.273803754941,-0.0112266798418972,17.0512
"50","Run6_1_G2_A3_O2",215.593785064935,-0.0104406267645397,17.20753125
"51","Run6_10_G4_A4_O2",194.949648073123,-0.00394155138339937,17.2015
"52","Run6_2_G8_A4_O2",214.219642066629,-0.00661270468661763,17.1525151515151
"53","Run6_3_G6_A5_O2",183.355604471964,-0.00555872033023759,17.2940909090909
"54","Run6_4_G6_A6_O2",213.395080186097,-0.00165462506841806,17.2740909090909
"55","Run6_5_G10_A7_O2",209.914053070015,-0.00437125183284446,17.1506363636364
"56","Run6_6_Blank_6_O2",181.350640147783,-0.000783004926108324,17.259
"57","Run6_7_G9_A1_O2",188.114433961538,-0.00830934615384621,17.31378125
"58","Run6_8_G5_A2_O2",221.542135230769,-0.00841523076923073,17.3173125
"59","Run6_9_G7_A3_O2",193.850545295566,-0.0119231280788176,17.2146875
"60","Run7_1_G1_A5_O2",205.376733333333,-0.00866315789473704,17.14548
"61","Run7_10_G1_A6_O2",195.064606126482,-0.00182690570299237,17.248
"62","Run7_2_G3_A6_O2",212.924093896104,-0.00228350649350675,17.15364
"63","Run7_3_G5_A7_O2",174.959230731225,-0.0030390316205534,17.22452
"64","Run7_4_Blank_7_O2",213.252852442029,-0.00134910869565209,17.13252
"65","Run7_5_G10_A1_O2",202.682836948052,-0.00913564935064944,17.09476
"66","Run7_6_G2_A2_O2",175.502810654762,-0.0113523214285714,17.1695
"67","Run7_7_G8_A3_O2",180.730452744361,-0.0101016165413533,17.2005769230769
"68","Run7_8_G9_A4_O2",220.282353896104,-0.00518506493506487,17.1829230769231
"69","Run7_9_G5_A5_O2",204.200374485294,-0.00549213235294097,17.1233076923077
"70","Run8_1_G1_A7_O2",207.985956064306,-0.00487344322344322,17.1692413793103
"71","Run8_10_G7_A6_O2",192.141704558824,-0.00267955882352945,17.1189285714286
"72","Run8_2_Blank_8_O2",213.312627350427,-0.00190085470085475,17.1270344827586
"73","Run8_3_G2_A1_O2",179.3127775,-0.00584846774193554,17.21759375
"74","Run8_4_G3_A2_O2",206.483657857143,-0.0087396753246754,17.0636428571429
"75","Run8_5_G5_A3_O2",208.858940123153,-0.00676623152709356,17.0685625
"76","Run8_6_G6_A4_O2",172.897408255934,-0.00512239422084643,17.1851428571429
"77","Run8_7_G7_A5_O2",182.948539440994,-0.00925993788819874,17.1066071428571
"78","Run8_8_G4_A6_O2",220.274217045455,-0.00291665019762855,17.0999642857143
"79","Run8_9_G4_A7_O2",204.39713,-0.00411571428571423,17.0795
